"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-09-08","passed","2026-09-08","","","",""
"","618","cy.request() - make an XHR request","Network Requests","2026-09-08","passed","2026-09-08","","","",""
"","122",".trigger() - trigger an event on a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","117","cy.document() - get the document object","Window","2026-09-08","passed","2026-09-08","","","",""
"","191","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","254","can filter for completed tasks","example to-do app","2026-09-08","passed","2026-09-08","","with a checked task","",""
"","246",".add() - create a custom command","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.Commands","",""
"","180","cy.writeFile() - write to a file","Files","2026-09-08","passed","2026-09-08","","","",""
"","602","best practices - selecting elements","Querying","2026-09-08","passed","2026-09-08","","","",""
"","79","Get current version of Cypress being run","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.version","",""
"","97","yields the original subject without return","Connectors","2026-09-08","passed","2026-09-08","",".then()","",""
"","90","Get environment variables","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.env()","",""
"","244",".each() - iterate over an array of elements","Connectors","2026-09-08","passed","2026-09-08","","","",""
"","380",".blur() - blur off a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","120",".scrollIntoView() - scroll an element into view","Actions","2026-09-08","passed","2026-09-08","","","",""
"","84",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.dom","",""
"","98",".spread() - spread an array as individual args to callback function","Connectors","2026-09-08","passed","2026-09-08","","","",""
"","98",".eq() - get a DOM element at a specific index","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","1100","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-09-08","passed","2026-09-08","","","",""
"","350",".as() - alias a DOM element for later use","Aliasing","2026-09-08","passed","2026-09-08","","","",""
"","101","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","100","finds element by class name regex","Assertions","2026-09-08","passed","2026-09-08","","Explicit Assertions","",""
"","174",".rightclick() - right click on a DOM element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","81","Get underlying OS name","Cypress APIs","2026-09-08","passed","2026-09-08","","Cypress.platform","",""
"","794",".check() - check a checkbox or radio element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","252","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-09-08","passed","2026-09-08","","","",""
"","93",".last() - get last DOM element","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","125","cy.setCookie() - set a browser cookie","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","122","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-09-08","passed","2026-09-08","","","",""
"","519","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-09-08","passed","2026-09-08","","","",""
"","757",".uncheck() - uncheck a checkbox element","Actions","2026-09-08","passed","2026-09-08","","","",""
"","113",".and() - chain multiple assertions together","Assertions","2026-09-08","passed","2026-09-08","","Implicit Assertions","",""
"","101",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-09-08","passed","2026-09-08","","","",""
"","100",".within() - query DOM elements within a specific element","Querying","2026-09-08","passed","2026-09-08","","","",""
